DiscYear,FieldGOR,OrigOil,OrigGas ,OrigBOE,CumProdOil,CumProdGas,CumProdBOE,RemOil,RemGas,RemBOE,WaterDepthCat,Field    name
1960,58681,11.4,667.9,130.3,11.2,660.6,128.8,0.2,7.3,1.5,SHALLOW,VR131
1949,43051,15,646.4,130,15,646.4,130,0,0,0,SHALLOW,WD027
1971,129933,5.4,700.1,130,5.4,700.1,130,0,0,0,SHALLOW,VR320
1958,3703,78.1,290,129.8,74.7,280.4,124.6,3.4,9.6,5.2,SHALLOW,EI208
1971,9754,47.2,460.1,129.1,44.9,453.8,125.6,2.3,6.3,3.5,SHALLOW,SM115
1974,2720,86.8,236,128.8,85.4,228.6,126.1,1.4,7.4,2.7,SHALLOW,SP049
1963,298723,2.4,706.7,128.1,2.4,706.7,128.1,0,0,0,SHALLOW,EI273
1960,152696,4.4,676.9,124.9,4.4,676.9,124.9,0,0,0,SHALLOW,EC033
1964,23673,23.8,564.1,124.2,23.8,564.1,124.2,0,0,0,SHALLOW,VR255
1954,96402,6.6,641.7,120.8,6.6,627.7,118.3,0,14,2.5,SHALLOW,EC071
1964,42261,14.1,598.1,120.5,13.7,591.2,118.9,0.4,6.9,1.6,SHALLOW,SM107
2012,2895,79.1,228.9,119.8,39.2,81.2,53.7,39.9,147.7,66.1,ULTRA-DEEP,MC300
1964,161948,4,644.8,118.7,3.8,619.2,113.9,0.2,25.6,4.8,SHALLOW,WC017
1984,53826,11,597.4,117.2,10.7,552.7,109,0.3,44.7,8.2,DEEP,VK783
1956,3959,69,265.4,116.3,60.9,236,102.9,8.1,29.4,13.4,SHALLOW,EI188
1967,1128,96.4,108.7,115.7,96.4,108.7,115.7,0,0,0,SHALLOW,MP306
1961,28213,19.1,540.9,115.4,18.9,540.6,115.1,0.2,0.3,0.3,SHALLOW,EI205
1963,5269,59.4,312.8,115,59.4,312.8,115,0,0,0,SHALLOW,WD041
1954,148823,4.1,615.7,113.7,3.9,598.4,110.4,0.2,17.3,3.3,SHALLOW,WC110
2001,777,98,76.1,111.6,79.8,61.1,90.7,18.2,15,20.9,ULTRA-DEEP,MC696
1971,1863,83.7,156,111.5,82,154,109.4,1.7,2,2.1,SHALLOW,EC321
1994,1436,88.5,127.1,111.1,75.9,100,93.7,12.6,27.1,17.4,DEEP,MC935
1972,4930,59.1,291.8,111.1,57.8,276.9,107.1,1.3,14.9,4,SHALLOW,EC338
1958,4495,61.1,274.8,110,59.8,274,108.6,1.3,0.8,1.4,SHALLOW,ST131
1973,2058,78.9,162.4,107.8,74.6,149.8,101.2,4.3,12.6,6.6,SHALLOW,EI361
1976,150282,3.9,582.5,107.5,3.9,581.4,107.3,0,1.1,0.2,SHALLOW,HI179
1997,1371,86.4,118.4,107.4,84.2,100,102,2.2,18.4,5.4,DEEP,EB643
1997,1096,89,97.6,106.4,80,90.2,96.1,9,7.4,10.3,DEEP,AC025
1976,3773,63.7,240.2,106.4,63.7,240.2,106.4,0,0,0,DEEP,MC281
1975,4839,57.1,276.4,106.3,53.2,264.2,100.3,3.9,12.2,6,SHALLOW,MP073
1983,990,90,91.4,106.2,86.2,85.1,101.3,3.8,6.3,4.9,DEEP,MC109
1963,35806,14.3,510.8,105.2,14.3,510.8,105.2,0,0,0,SHALLOW,VR250
1997,2829,69.5,191.5,103.5,58.9,170,89.1,10.6,21.5,14.4,ULTRA-DEEP,MC607
1998,1089,86.2,93.9,102.9,70.9,79.4,85,15.3,14.5,17.9,DEEP,MC582
1962,8416,40.9,344.3,102.2,39.6,333,98.9,1.3,11.3,3.3,SHALLOW,SS253
1971,44241,11.5,508.2,101.9,11.5,508.2,101.9,0,0,0,SHALLOW,WC146
1971,84202,6.3,534.4,101.4,6.3,534.4,101.4,0,0,0,SHALLOW,EC231
1963,38871,12.8,497.2,101.3,12.7,495.1,100.8,0.1,2.1,0.5,SHALLOW,ST190
1961,327722,1.7,552.5,100,1.7,552.5,100,0,0,0,SHALLOW,HI160
1987,8708,38.1,330.9,96.9,29.8,273.8,78.5,8.3,57.1,18.4,ULTRA-DEEP,MC657
1998,1368,77.2,105.5,95.9,55.1,70.8,67.7,22.1,34.7,28.2,DEEP,MC899
1973,14419,26.8,386,95.4,26.3,385.2,94.8,0.5,0.8,0.6,SHALLOW,SM137
1963,261246,2,524.4,95.3,2,517.3,94,0,7.1,1.3,SHALLOW,EC265
1965,70314,7,493.8,94.9,7,493.8,94.9,0,0,0,SHALLOW,VR218
1984,1421,74.6,109.7,94.2,61.3,88.1,77,13.3,21.6,17.2,DEEP,GC236
1980,47747,9.8,469.6,93.3,9.2,414.3,82.9,0.6,55.3,10.4,SHALLOW,EI024
1983,46590,10,465.1,92.7,10,433.7,87.1,0,31.4,5.6,SHALLOW,SP083
1999,4077,53.7,219,92.7,25.9,143.7,51.5,27.8,75.3,41.2,ULTRA-DEEP,MC252
1975,13632,26.7,363.6,91.3,26.2,358.2,89.9,0.5,5.4,1.4,SHALLOW,ST036
1967,2363,64,151.4,91,63.3,150.4,90.1,0.7,1,0.9,SHALLOW,MP290
1975,368340,1.3,497.2,89.8,1.3,497.2,89.8,0,0,0,SHALLOW,MI619
1976,999999,0,504.7,89.8,0,504.7,89.8,0,0,0,SHALLOW,GB236
1982,5687,44.4,252.4,89.4,43.8,250.3,88.4,0.6,2.1,1,SHALLOW,SM236
